Subject,max train accuracy,min train accuracy,mean train accuraccy,max train loss,min train loss,mean train loss,max validation accuracy,min validation accuracy,mean validation accuraccy,max validation loss,min validation loss,mean validation loss
P10,1,0.385072529,0.958434321,1.094145298,0.003442868,0.110681349,0.977638006,0.47239694,0.932221676,1.064877629,0.064225189,0.169884653
P11,0.999300838,0.467925191,0.939379859,1.031079412,0.014722812,0.146476852,0.909154415,0.647798717,0.872918176,0.94313401,0.259222716,0.325963963
P05,0.99982518,0.636951566,0.977068364,0.865706384,0.003235758,0.063925033,0.981830895,0.760307491,0.956243023,0.698932827,0.060671818,0.118421968
P02,0.999650419,0.359202951,0.938089701,1.105585933,0.00494324,0.154424086,0.911250889,0.372466803,0.831351737,1.433543086,0.307246894,0.460700378
P03,1,0.410592556,0.950385108,1.072841167,0.002375019,0.120500804,0.897274613,0.544374585,0.842130772,1.005827665,0.310136169,0.420856762
P04,1,0.483481914,0.949160302,1.004614711,0.002247135,0.118853879,0.917540193,0.644304693,0.861955129,1.372989535,0.291150928,0.388189681
P13,1,0.636427224,0.967409156,0.851801395,0.003980851,0.083167519,0.94619149,0.731656194,0.918141362,0.731475234,0.19484508,0.241774906
P14,0.999300838,0.404824346,0.951147622,1.078275681,0.016233489,0.12248127,0.879804313,0.547169805,0.8506932,1.022814393,0.338315725,0.418208217
P15,0.99982518,0.54116416,0.962041222,0.956003368,0.006610595,0.095471074,0.907058001,0.665967882,0.875265203,0.843896031,0.291967034,0.348284846
P12,1,0.538542211,0.942570953,0.957450807,0.002793542,0.137198104,0.933612883,0.67155838,0.873517796,1.132833481,0.240626603,0.35272372
P06,1,0.557245255,0.979108032,0.950172544,0.001956779,0.058056534,0.994409502,0.665269017,0.967431512,0.847417295,0.022158017,0.087611844
P08,0.999650419,0.339451134,0.921184608,1.128918409,0.005201679,0.190601886,0.853948295,0.359189391,0.767371469,1.412849426,0.526042879,0.660797345
P09,1,0.5588184,0.951411296,0.943333507,0.002585016,0.118024967,0.948287904,0.667365491,0.883955235,1.302456737,0.164827421,0.311917003
P07,1,0.45306766,0.961698829,1.042567015,0.006450987,0.103318575,0.923829496,0.593291402,0.892290934,0.974530041,0.215147749,0.298424958
P01,1,0.343121827,0.917532492,1.116584301,0.004949544,0.20040483,0.865828097,0.382948995,0.772393372,1.569329739,0.416497946,0.592255226
