,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,1.7082866588153628e-11,6.597529707494357e-12,3.569440539968057e-12,2.5130054555072734e-12,-335.2045254834365,2.2457448597958113e-08,7.510292117000908e-12,1.5081213264307558e-10,0.2547769940922192,2.96193780352686,2.2019566589759676,1.3888758634472607e-06,2.2473759630731672e-05,0.3719425825823723,2.345506068435861e-06,8.390731695429924e-05
1,5.0974173835503204e-12,2.033061272761103e-12,1.463720042296131e-12,2.021613936939111e-12,-72.40224852045357,1.9867050282509613e-08,2.529666412808886e-12,5.4393466020134716e-11,0.2539211562673953,2.7118724269518073,0.4612962345756416,8.120134357574232e-07,7.768706907759211e-06,-0.09345185984168437,1.4545008624960381e-06,1.6243067740901806e-05
2,3.5836426225020218e-12,1.949036784346254e-12,9.990764949691007e-13,1.0596735431840959e-12,-174.86119782438217,4.789352591007482e-09,3.3242244724065783e-12,4.548244408549756e-11,0.31139588600435525,2.3082168580835534,1.1728331822102929,9.297304341943559e-07,1.0313802729839008e-05,0.04551028155139919,1.6077136947305022e-06,1.958419624628061e-05
3,1.3849344831940039e-11,4.043367856786273e-12,1.8137023624711482e-12,1.2342613296767596e-12,277.2320035991619,2.273999061571413e-08,7.251925524707598e-12,1.1603868921929528e-10,0.2827489919642411,2.689695758453608,1.2925166350710104,1.3501580042187225e-06,2.2023924292362858e-05,0.1926533872578904,2.2402555645587158e-06,2.7879444953078504e-05
4,4.135453870708191e-11,1.0151960967895248e-11,3.5749567202214286e-12,2.068001331441647e-12,345.1891259019999,2.8026068088885253e-08,6.6490113411289804e-12,2.6766511120188635e-10,0.18494723051790088,4.069854527402276,2.176560229798592,1.316659593983152e-06,4.4066576021972994e-05,0.3161729942184769,2.2211913918777517e-06,4.515733285420004e-05
5,4.17475681643847e-12,1.5198479150865544e-12,7.474017555465629e-13,5.814135574624199e-13,-966.8096285761018,7.522371991049733e-09,2.5262392491293733e-12,4.174960244412656e-11,0.28386652754276953,2.5312599354673746,1.1715864416760173,8.094523713338035e-07,1.3075968078126191e-05,0.12107563582056473,1.399269140342782e-06,2.3193403707942316e-05
6,1.6516935348756169e-12,1.0675125198683664e-12,6.916215894161287e-13,6.431359460160635e-13,-56.00669738515478,1.2250430438654923e-08,1.673851381335592e-12,2.511693443494328e-11,0.3020030560946386,2.316681439319008,0.40503611215404567,6.691009288510199e-07,5.949289784084838e-06,0.029337559815073536,1.1769238578152124e-06,9.930848004882889e-06
7,1.3819278940801949e-12,8.06903672803431e-13,5.135978149698259e-13,3.9573513337958184e-13,-92.70307511715416,7.726499784327199e-09,1.5072299614346819e-12,2.0727767884129793e-11,0.3150035888137228,2.226560485127745,0.4912152512480585,6.401505960842415e-07,3.746952556649118e-06,-0.020010583385146503,1.1192799923501548e-06,1.2516296591134507e-05
8,1.2435597698206678e-11,3.3797328420874276e-12,1.4371072377331881e-12,9.716295214621575e-13,9693.718732624491,1.3794619416704755e-08,5.892651104506771e-12,9.955448107733118e-11,0.27633959617495696,2.7564819197234685,1.3342393648467645,1.2601617102251526e-06,2.042004924238957e-05,0.22045529608527945,2.0860976616192778e-06,2.9691695266651405e-05
9,3.205640649459119e-12,1.177674156929952e-12,6.951818403223262e-13,4.5070131771055233e-13,133.34244692582436,-3.0491086478972023e-09,2.1389221423383595e-12,3.298534421298383e-11,0.29343951240935334,2.470942378031151,1.0809045421230843,7.556372497348336e-07,9.190254956893263e-06,0.08867627764069634,1.2937733473590998e-06,2.0899496171511406e-05
10,1.779212709045236e-12,1.0275904767893188e-12,6.174162534747564e-13,5.352560642621817e-13,-758.280389242815,6.887715040847192e-10,1.1963505958223158e-12,2.3163522997603075e-11,0.2733009419206807,2.387052158215435,0.6547734765533975,5.580668312439756e-07,7.0092593942168276e-06,0.08871777237974225,1.0323236624822715e-06,8.97476140230411e-06
11,2.9523521750380088e-12,1.8567577778112975e-12,1.2820981491163806e-12,1.1202553754143077e-12,272.508113371032,-1.2660787265686771e-08,2.9418133404249743e-12,4.6335681833274394e-11,0.29842061190792546,2.2891798827426704,0.9630343701882141,8.743098335170045e-07,1.051799434195468e-05,0.2903701606996096,1.5662632120887412e-06,1.6433831522087436e-05
12,2.3863025706501883e-12,1.1726622973806493e-12,7.847692753370026e-13,6.576863707952618e-13,104.87996391724622,-5.764116307729837e-09,2.4904690330178e-12,3.2697737995688005e-11,0.3194342142608057,2.2261766790606945,0.3492415739151825,8.17614424957426e-07,4.619392858777754e-06,0.05472057060442152,1.4242859488385314e-06,1.3562155468070495e-05
13,3.841296486492596e-12,1.4527221458203296e-12,9.21816564306535e-13,6.925254913100976e-13,64.63482510486638,-6.520212625109607e-09,3.054098698060803e-12,4.247665558872299e-11,0.3098183525214837,2.3634787826157955,0.4798358989781986,9.26882980965562e-07,7.453085300984206e-06,0.0637336699121996,1.5676220542351893e-06,2.74580100343328e-05
14,4.367538962617496e-12,1.8420370383976012e-12,1.3664210491631963e-12,3.332644866891028e-12,-262.13851519157294,-5.0728912543761836e-08,2.966468690649584e-11,1.5431577384282363e-10,0.4965682346238472,1.5618429830810188,3.3698371964415657,2.7404718568221563e-06,5.333292707713442e-05,0.26908609243079934,4.401031965030388e-06,7.704246756694896e-05
15,3.220971673653899e-12,1.5993416018906043e-12,1.255212502054738e-12,3.3149332199366434e-12,-138.1444625470656,-7.548706763204276e-08,2.4449762698432046e-11,1.3234747167953074e-10,0.4881376923414338,1.5740981409613726,3.5745696698505527,2.4421228679946703e-06,4.1256804003967366e-05,0.13802251020095527,3.9558547214100885e-06,5.976247056992445e-05
16,2.9643387352636073e-12,1.5772882178130471e-12,1.1811709857392021e-12,3.1140960828050396e-12,-162.58632297104396,-6.195641530192664e-08,2.2058256685610567e-11,1.2192915208886622e-10,0.48203609287312765,1.5896699971668555,3.9546755198404036,2.251975578021273e-06,4.482484306095979e-05,0.10564929594321344,3.6648468646589694e-06,6.777534477759975e-05
17,2.268434182042758e-12,1.7373794329677992e-12,1.2893961711677263e-12,1.4124884010265871e-12,-923.4078651412409,-3.534994218149289e-08,9.655227110197403e-12,6.823838225850353e-11,0.428701697483307,1.765593903157479,1.0261197481990838,1.6006966237533186e-06,2.0708480595101847e-05,0.12774540616264832,2.6349022529771415e-06,3.7425794323643856e-05
18,2.5228047687731726e-12,1.4440605940454668e-12,8.452291835751626e-13,7.306128250288639e-13,96.75854761310492,-4.870529523962358e-09,5.096227075736864e-12,4.2737257887441e-11,0.3904976710666822,1.9567059998434433,0.780421484928927,1.18771427343664e-06,9.906708430609597e-06,-0.05206248827444309,1.9548393915538797e-06,3.274260543221179e-05
19,1.8083619993774783e-12,1.1216405526089765e-12,6.614156063728079e-13,5.451671210202809e-13,-367.4422462789863,-1.4881251062746735e-08,3.462171234693318e-12,3.2263156655877194e-11,0.3733007687742905,2.0199724565865473,0.7037477415806004,9.797948097397688e-07,1.4102289036392766e-05,0.01031084025698487,1.6328176460540048e-06,1.829194305333028e-05
20,2.0285159071527644e-12,1.2526616189650728e-12,8.175288349844793e-13,6.582412465125324e-13,81057.0728598861,-6.647968260457175e-10,1.3455075838209749e-12,2.8120152594903805e-11,0.26577807310147683,2.421024331604606,0.7739591157125076,5.87028168972244e-07,2.959336018921188e-06,0.13456132411957514,1.0970473928507082e-06,1.1395238764019225e-05
21,2.088168032256176e-12,1.2644817761556641e-12,8.30115733682896e-13,8.261824338316539e-13,-56.813062773044415,7.659972991738115e-09,1.7542150296195193e-12,2.944668720536951e-11,0.28617130066405166,2.4503922170818955,0.4287002712303156,6.917544950776064e-07,1.3660652588693067e-05,0.04719033861646464,1.2110688884747524e-06,1.4211968899061573e-05
22,1.8452677393776343e-12,7.832747407418371e-13,4.407627802995492e-13,4.345766333824966e-13,3833.2542990919756,6.187669769220131e-10,1.276142405851604e-12,2.1673039790004487e-11,0.2869629779967462,2.345182024492034,0.6615075731479146,5.703436631429935e-07,9.083915613031202e-06,-0.08087032261155848,1.0355997065172016e-06,1.4541645156023499e-05
23,3.2080236641395976e-12,1.3895252025224306e-12,7.716456677642458e-13,5.964047646201919e-13,95.09168152594944,4.217114958014297e-09,6.032594835939575e-12,4.4617752987350766e-11,0.41439703561427244,1.90844864672914,0.7374839307228082,1.3471242314853443e-06,7.674321470969707e-06,-0.07520323406785578,2.1508086934129873e-06,2.821302656595712e-05
24,1.0356338969632103e-11,3.2548426329781386e-12,1.498900623702351e-12,1.0209960993309328e-12,94.27328876273585,1.8746145982770438e-08,5.372195643264562e-12,8.908397206181606e-11,0.28181794871007726,2.6517223590161287,2.0704421400249475,1.2144653882499247e-06,1.6740124422064542e-05,0.06982261041437486,2.03018108296725e-06,1.9150885145342182e-05
25,4.066485675987362e-12,1.4148918473478616e-12,7.077417712354847e-13,5.249962730979597e-13,309.58193829956826,1.0829868545825317e-08,3.2297284628945503e-12,4.051824735097036e-11,0.3213639728734744,2.3362331907086764,0.8549389179988496,9.457374914292108e-07,1.2848923555352108e-05,-0.12319012694559757,1.579973882946909e-06,1.746669899137865e-05
26,3.7178744524552404e-12,1.187785008684273e-12,6.297517524618596e-13,5.886213445100463e-13,-83.69140660707014,1.598803787729082e-08,1.7328315602229871e-12,3.456035706324707e-11,0.26022536292592546,2.7062939081629627,0.7938311716037615,6.742204451853347e-07,1.558818465247578e-05,-0.19160066904072326,1.1865807862038795e-06,1.6111439987792784e-05
