,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,1.6575573069591205e-11,6.833591031722822e-12,3.1339928224303514e-12,2.3990326893324398e-12,255.70737933108222,5.5870867396467645e-09,5.000780426669068e-12,1.3856183432953529e-10,0.2214969028535478,3.280401605176314,3.9501644169450785,1.137782631506393e-06,1.823265138933394e-05,0.47647666121178384,1.9589679780120472e-06,3.3030971174181724e-05
1,5.307017134749698e-12,2.2400123103925167e-12,1.7118880009288204e-12,2.4256919746804577e-12,108.29870597358718,1.2308225586219109e-08,2.224219726558685e-12,5.5099542432793346e-11,0.23741142223197623,2.838504965645732,0.49028979705779163,7.54547318772242e-07,3.881041562523843e-06,-0.07798883796307769,1.3829307408040852e-06,1.3125059067673764e-05
2,3.7039482032108546e-12,1.9654494285656407e-12,9.357957500923923e-13,1.0096716343557397e-12,164.52289466963725,-1.5454420991780788e-09,2.682278905783223e-12,4.278613724693565e-11,0.2888589880339579,2.462032191097862,0.8395902723368797,8.327616844231729e-07,4.117256058594643e-06,0.14539631437729023,1.4561791329710255e-06,2.0782340105287258e-05
3,1.478086534205343e-11,3.86879291315319e-12,1.7250369225602341e-12,1.2205837591481034e-12,143.97190815301107,1.6435464173041556e-08,5.842518240897787e-12,1.098906330809927e-10,0.26021160198583326,2.9258762667283875,1.0352228457067114,1.1996025715133787e-06,1.840093695429923e-05,0.22510830032492085,2.0096678619648453e-06,3.5156871067368585e-05
4,4.63493796583777e-11,8.852346552649816e-12,3.367373723091019e-12,1.8097932379652458e-12,522.9289009671915,2.3153180307551535e-08,5.149634167196831e-12,2.6813870752799536e-10,0.15998315050719997,4.721981988726639,2.13380099382607,1.120471101502764e-06,1.3062022893110548e-05,0.48282630756840267,1.9173888583595846e-06,4.980117228656443e-05
5,3.9416266412725815e-12,1.3654929946947697e-12,7.086899032594771e-13,5.603324703846195e-13,-162.67336065332918,6.83888871531122e-09,1.9034276393558596e-12,3.625013131296362e-11,0.2655097097707968,2.6684694931131636,0.6096270897705991,7.100408381253581e-07,4.458730199130235e-06,0.1001910868845917,1.2452491296494566e-06,1.3403757537193863e-05
6,1.6803612034251295e-12,1.037742728095719e-12,6.395386453279943e-13,6.717135040694014e-13,364.39762269041864,6.0139655656392895e-09,1.486587540023942e-12,2.3961043692266325e-11,0.29157742137472964,2.368863929939686,0.20737186444807282,6.319518564921066e-07,6.9055485542076755e-06,0.03644533071409772,1.1202251452140782e-06,1.1316463604180972e-05
7,1.3083738316650302e-12,7.714452333580435e-13,4.661226697940997e-13,3.9111217328589273e-13,-140.858298018485,-3.967565403502651e-09,1.3281217214015513e-12,1.9396156626438686e-11,0.30735392696192865,2.2513527951171914,0.8120513694785461,6.005894063960779e-07,8.027644367132063e-06,-0.11181139124683599,1.0625789387967817e-06,9.57710238498512e-06
8,1.1691095417432614e-11,2.790441158962642e-12,1.3747395384884485e-12,8.594471166581523e-13,6171.82055450631,1.1455966834668201e-08,2.851920854370275e-12,8.083679425346891e-11,0.2173966957183738,3.3004860974215915,1.2753965480206997,8.56707184164742e-07,1.7600865723659113e-05,0.22316808524703982,1.4989244094565343e-06,1.777795105973907e-05
9,3.076230866651427e-12,1.0449858244115206e-12,6.36226286339577e-13,4.705987354605619e-13,-258.2986983517525,-1.6587036707297688e-09,1.4900962151643927e-12,2.8847130298166968e-11,0.2652474292070969,2.6193511242486993,1.494244217666501,6.219382097768089e-07,1.1762999249256124e-05,-0.08010268351903449,1.1070030779471715e-06,1.220085849393454e-05
10,1.6452193725108467e-12,9.079300580062841e-13,4.979824338361764e-13,5.500992686165359e-13,-196.20779598049984,1.4559566449543264e-09,1.166221016883547e-12,2.197894351981053e-11,0.2766792166069165,2.3442110770051245,0.6032921070215166,5.482825726880598e-07,6.252681071183338e-06,-0.004571404568908164,1.0203476020362364e-06,7.450924467841611e-06
11,2.708043999344736e-12,1.6252302077749142e-12,1.0687367645616092e-12,8.924307827032379e-13,-3664.9509222988127,-9.203836825066554e-09,2.2703782625852053e-12,3.93490505321136e-11,0.2849805065007584,2.354924498714732,0.9827678694129568,7.681518288879873e-07,1.0869289506370642e-05,0.22965026570484195,1.3920796843263438e-06,1.1386440778210117e-05
12,2.353939388789082e-12,1.1406858850253477e-12,7.327268694970309e-13,6.424750927812079e-13,317.0253284409934,-2.543933443718376e-09,2.033398378046989e-12,3.1014516790263833e-11,0.3000113400731107,2.281962669552383,0.646877682672219,7.34171519190996e-07,8.68506855115587e-06,-0.035631654738891856,1.311364977153186e-06,9.7492172121767e-06
