,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,5.965383229031256e-12,2.639899794415954e-12,1.254797772527918e-12,9.97726707416568e-13,1916.1792138230096,1.1703812684933825e-09,3.1425783560817174e-12,5.742666342667272e-11,0.27079199214124006,2.6998860182136593,2.424416359069624,9.244424696199193e-07,1.770246450293736e-05,0.427909906178491,1.565629842731462e-06,1.8014929646753642e-05
1,2.984195828165479e-12,1.3878176031275673e-12,1.995822791418123e-12,2.171732669700418e-12,146.41474403311292,-2.331643255203307e-09,1.4648399850524508e-12,3.8032787167353433e-11,0.24005189542019614,2.6364416068067467,1.1348568719973648,6.110921833618347e-07,3.5722132112611623e-06,-0.12169340323436066,1.1640788982172463e-06,1.3514346440833142e-05
2,3.511095897267423e-12,1.1778955359556794e-12,8.088287806558847e-13,8.417046069618261e-13,183.4152737404437,-3.3824266622679997e-09,1.662434350994609e-12,3.2460394941611155e-11,0.26460912020376076,2.5755318905967157,1.0469567835464124,6.427068924211371e-07,1.4608347905699271e-05,0.08800207168049994,1.1614509640566373e-06,2.213976282597085e-05
3,1.4331192165359449e-11,2.5512684930407056e-12,1.3824143059409429e-12,9.188521339285923e-13,-263.7927023544161,3.5596856166429785e-09,2.739633100490852e-12,8.310424300008347e-11,0.20986084338511823,3.4836397856070116,1.3692439829914715,7.853559593038083e-07,2.6315055161364152e-05,0.1488920087434021,1.360202126183438e-06,3.532097489890897e-05
4,1.6457492521533486e-11,3.488157868998096e-12,1.7327229924192179e-12,1.1467701356541172e-12,-735.0393326601708,7.181119688205248e-09,3.1725030031824314e-12,9.842272236091947e-11,0.2077351806315654,3.5100061478127595,2.0352247410903943,8.321288881740681e-07,2.8819986617837792e-05,0.20660724144025283,1.449152945203887e-06,4.193882030975814e-05
5,5.5534710650337725e-12,1.2682566952225517e-12,7.599901078798333e-13,5.791855112110623e-13,-203.3835894586353,-2.173373546191136e-09,1.4954301047031358e-12,3.86403747172772e-11,0.23115055882096153,2.991950269138636,0.38170135902331004,6.240187126226162e-07,8.753304910353247e-06,0.08112778866447572,1.114591840745917e-06,1.5017876928358895e-05
6,1.6126017310961244e-12,9.887907135983588e-13,7.875060283072881e-13,8.454958152776518e-13,252.61078907049298,-2.4700336940635695e-09,1.114245364454806e-12,2.2656628343187786e-11,0.26466661243779077,2.4506850341470994,0.5587014825792472,5.295335358255834e-07,2.23924810406653e-06,-0.04683915712970827,9.868391568292916e-07,1.1747478660257876e-05
7,1.5988889969851548e-12,7.941203578734438e-13,4.973764402989096e-13,3.964301251985538e-13,223.3331989840959,1.6610657221613138e-10,1.213872281323075e-12,1.969432401766284e-11,0.28659058066308596,2.440302799858867,2.5862251111977215,5.294057606676789e-07,1.8306553362325482e-05,0.20662463389545865,9.468443726896298e-07,2.976948666208896e-05
8,6.0208845516201535e-12,1.585986204713126e-12,9.91764575056923e-13,7.855836216722193e-13,179.37478012518824,9.480587353653864e-09,4.203578221145766e-12,5.217632888233135e-11,0.31860404011351184,2.404370840012397,2.8242892570316482,9.996306263230658e-07,2.500113136491951e-05,-0.11551847442133997,1.6647578190920404e-06,4.22684585397116e-05
9,2.2289845238352645e-12,8.64933578145351e-13,5.202831895272938e-13,4.153301789920096e-13,576.3528803340452,4.728876227404691e-09,1.1495407446333332e-12,2.2390170300987325e-11,0.2638741657622743,2.599727320476074,2.4044320880989645,5.050788270150772e-07,5.230928889906158e-06,-0.041347992485365255,9.264065034768784e-07,2.825760179446097e-05
10,1.5868359717413884e-12,8.158701701888897e-13,4.621272352292858e-13,8.869770395960523e-13,-132.3720357451754,-8.764582627362386e-09,1.1045030490286974e-12,2.1491634036431517e-11,0.27170270388418266,2.403230195175197,0.38800730696043845,5.33048163592958e-07,8.714236926832989e-06,0.08213617966847786,9.8989050744357e-07,9.22262172884718e-06
11,2.6611071727658346e-12,1.3957765247710432e-12,6.461750854347328e-13,1.205331718965503e-12,-255.53687939919357,-6.600561931068464e-09,1.4718177194883778e-12,3.352179945665872e-11,0.256321766908955,2.4185840978677895,0.4932728057183768,6.025973765755848e-07,3.2348505912870986e-06,0.11123672095745682,1.1648144919657808e-06,8.23673949797818e-06
12,1.7692415751713907e-12,8.679320889672265e-13,4.823950752795276e-13,6.345446834481302e-13,1208.7021124662294,-5.57954976133426e-10,1.3248001684898045e-12,2.2635477386643556e-11,0.28689632300026063,2.3432424635152582,0.9448011229089132,5.931978989536295e-07,3.0438110826276063e-06,-0.03788780008115668,1.0727381441368037e-06,1.0636102638284888e-05
13,2.227309302964461e-12,1.0344192710130926e-12,7.021828803955535e-13,6.375532779568976e-13,468.3027961371977,2.302628097466576e-10,1.6688725227634587e-12,2.8308865854822835e-11,0.2876934874006867,2.352092089622289,1.0208704928912797,6.622227156543432e-07,8.980389929045546e-06,-0.09587661351889706,1.1902611330213624e-06,1.262487699702449e-05
