,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,1.2167623588585676e-11,5.768027104566844e-12,2.7286516954616674e-12,2.0524658541218693e-12,-64.84479805388175,3.954113165092588e-09,2.910906941645674e-12,1.0055376581907453e-10,0.2036028917708419,3.388673543120473,12.124525798979361,8.591270344234017e-07,1.381944643320363e-05,1.356889529158999,1.522886118185475e-06,1.9270564637216753e-05
1,5.081926290915023e-12,2.100053237033048e-12,3.728379007143768e-12,4.259766748907442e-12,-22447.503939699003,4.3668873825650676e-09,1.6794884630053533e-12,5.7743902778418e-11,0.21055316640740063,2.9356612564618603,1.2961887944797994,6.466516917239635e-07,1.0265629480430304e-05,-0.01060995617012771,1.2599948471893494e-06,1.214007482261387e-05
2,4.055593697839543e-12,1.847261193210735e-12,1.1081059606854425e-12,1.1401708030813454e-12,-111.65278162055948,7.007065973596033e-09,1.801308727352799e-12,3.9458761718842125e-11,0.2485362443893648,2.7530874610175027,1.8823954781887384,6.618653874725885e-07,9.596988235294108e-06,0.24652929606003868,1.1991660040927467e-06,1.634724338445106e-05
3,1.780755665996915e-11,4.273060458004324e-12,1.8819497529790695e-12,1.4577764929822028e-12,-68.292980312268,1.1540971978127333e-08,3.490068232502351e-12,1.1537346458940223e-10,0.2016276044472128,3.5882843965441946,1.926215700891551,8.994056391403969e-07,1.1806607037460898e-05,0.2652222818531744,1.554628547443714e-06,3.3431699861142894e-05
4,2.1749869850337577e-11,4.5747017140544885e-12,2.2984728352694053e-12,1.5131148082992618e-12,-93.53816591683314,9.844933965842414e-09,3.730429602936939e-12,1.2807658282383205e-10,0.19462275958658826,3.7708160860305537,3.8553335897757424,9.120546900661602e-07,1.3436463300526436e-05,0.45582973547039113,1.5863354027271181e-06,3.3527910179293506e-05
5,5.087451478527969e-12,1.4842570688482167e-12,9.31846344521555e-13,7.981958803452505e-13,-118.41776228842654,9.084087031707759e-10,1.6546816595788938e-12,3.9672191426796356e-11,0.2380849551083819,2.922072396546428,0.846461666705798,6.467531895799422e-07,1.2210039368276493e-05,0.08628112007915324,1.152331384731706e-06,2.013532872510872e-05
6,2.0377228521073153e-12,1.196158375445749e-12,1.0653103863392724e-12,1.2549836072906092e-12,-950.3949629780865,4.938502254896477e-10,1.1911883382858908e-12,2.702374309438489e-11,0.2504607913000236,2.6236431353664864,0.3414908453433693,5.530983854929723e-07,1.3602288487067975e-06,-0.021154517095599804,1.024024185134271e-06,8.388077900358586e-06
7,1.5741542972920958e-12,7.703382656950012e-13,5.054699963075307e-13,4.123089820428765e-13,-302.529002140477,1.0203583385841381e-09,1.1153661107998142e-12,1.8275887726225595e-11,0.28453150772293867,2.476433987496005,0.6538740156873194,5.21280470972843e-07,1.2608825108720531e-05,0.02435337722239161,9.27465526707879e-07,1.5754089590295264e-05
8,7.276584240643534e-12,1.964897867679141e-12,1.349417029804223e-12,1.0170756437347984e-12,-56.045482626397195,4.527199953324158e-09,3.6183716110242054e-12,5.751346854314809e-11,0.279640921357881,2.6974612683809833,2.2576707695801788,9.05846686156747e-07,1.9040850942244593e-05,0.11405618453493141,1.5418812283921389e-06,4.5535896635385666e-05
9,2.6841633496900525e-12,1.0257421900530397e-12,6.408434810612246e-13,5.524201013149834e-13,-107.68849700074794,7.159136633376704e-11,1.1987696214417862e-12,2.5153644999329514e-11,0.2524351569867556,2.731988860767717,1.3709690900583855,5.208301357536627e-07,1.70916889906157e-05,0.016437277682848,9.543916327998573e-07,2.2915672007324326e-05
10,1.5460922514088903e-12,8.85787241824239e-13,5.083114566666465e-13,4.4610811979291817e-13,150.32362445004944,-2.1243156822877907e-09,9.82047293742368e-13,1.9573310126240768e-11,0.2672461000375706,2.4815578658203985,0.4239540304148453,5.056106280655975e-07,5.119387585259785e-06,-0.037693302788545,9.262616907562172e-07,7.909450446326391e-06
11,2.906615625428221e-12,1.628850357225778e-12,8.607016310304609e-13,7.69386042436633e-13,-13835.300467092757,-2.2348549448264434e-09,1.477003257129471e-12,3.468883998463101e-11,0.24788645275445947,2.5972416600336983,0.9735667655973028,6.087076639676699e-07,5.607086477454796e-06,0.03346618490689472,1.1438558921233903e-06,8.977219555962463e-06
12,2.1234496083410562e-12,1.0799920532237398e-12,5.889577510742121e-13,5.478521182774788e-13,186.75306349240424,-2.062321133087781e-09,1.3579008448851713e-12,2.500293851283426e-11,0.27477302359117395,2.4556798425741815,1.202009425943967,5.946501365041368e-07,5.416699443045702e-06,-0.13372502970913736,1.0754408954695924e-06,9.192265329976348e-06
13,3.673255646213843e-12,1.5565436254728719e-12,9.634404457890774e-13,8.471299433572458e-13,718.4246199907279,-2.7554669623184366e-09,2.028044426076736e-12,3.7360216521852754e-11,0.2720019160722525,2.5479646441721417,1.7580060055528437,7.282564574072841e-07,1.052612130922408e-05,0.0011102907591014602,1.297335255600029e-06,1.2872427704280156e-05
14,3.2609612176641057e-12,1.8967193416741174e-12,1.2360230859856589e-12,1.289407816536077e-12,74.63443795445191,-2.98201106879166e-08,1.1581142534054976e-11,7.392534455472982e-11,0.44653228818750945,1.7413631179293358,1.1212837674223144,1.8273019238537977e-06,1.2371763277637906e-05,-0.005842423576384382,2.9556681853495083e-06,3.088957423666743e-05
