,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,2.6823609654256977e-11,1.1391578236814166e-11,3.4203445528842045e-12,1.2351315142435682e-12,-176.2447892812685,2.478498004965714e-09,6.770483409684785e-12,1.9003265251036198e-10,0.20964899932517836,3.8828672246293543,51.651088423988476,1.1959703696085843e-06,0.00011730099153124283,3.4602143840377564,1.931697321031473e-06,0.00011918618603799495
1,3.2868263344777793e-12,1.5784258559819971e-12,6.637017095283865e-13,3.630692498108898e-13,-91.2419127586457,-2.258985645519651e-09,1.6365300619038646e-12,2.8677452110898952e-11,0.2645330576486171,2.9517618520112343,3.797074025188807,6.249691999099464e-07,1.8703841680018312e-05,0.3046597651226073,1.0319714891092616e-06,2.6903190075532157e-05
2,7.01285305869144e-12,2.0372775691619133e-12,7.990010417681682e-13,4.363859315914151e-13,-47.35485308070627,-3.7125607565821033e-09,7.093895897046137e-12,5.7137039771269994e-11,0.3862457851262099,2.164237215471149,29.908312520386264,1.1765158077553795e-06,6.910946552224001e-05,-0.37738576257589423,1.8377583292286895e-06,9.948017221332113e-05
3,2.8625763588580836e-11,6.396447057826087e-12,2.2063869578491052e-12,9.769638920171672e-13,80.80358690726852,-9.273789520471628e-09,6.036565726002453e-12,1.587219533007969e-10,0.2201400512328943,3.6515103889050877,6.411572542089442,1.1986763933912687e-06,4.1757604943923094e-05,-0.17061756627390237,1.9020401638794509e-06,5.099546074616617e-05
4,2.2790170353287958e-11,4.941538894335562e-12,1.77559058914284e-12,8.114758442426067e-13,44.94942582356796,7.518065083115822e-09,9.210874750112722e-12,1.386548842532946e-10,0.2803226192752434,2.9872684319855263,8.509892070382637,1.2829403548077582e-06,8.900184945448998e-05,0.3861991010932905,2.0202202236948897e-06,0.00014511607354848554
5,9.51468328646333e-12,1.8717691546693495e-12,7.325389001409075e-13,4.4904475127773897e-13,-1735.9500250789636,3.798867358172745e-09,1.0731461225215302e-11,7.362479419549075e-11,0.41256769757527195,2.056527713171306,2.705174602253744,1.4750394330285275e-06,1.598496944838637e-05,-0.26067642993472534,2.277845215716414e-06,5.259695901121537e-05
6,2.0475893736948235e-12,9.235056861370195e-13,4.76149545742652e-13,2.731011502209405e-13,-70.44521101554943,-2.2996797076366666e-09,3.533294243174789e-12,2.3249924899538332e-11,0.42346710550603417,1.9616293075745486,20.99988315769609,8.808353538356113e-07,4.447367429312582e-05,0.3173433837133638,1.380166014876099e-06,6.310533473258564e-05
7,3.1943647436875493e-12,1.1033559329128646e-12,4.270434017949742e-13,2.6738450053983404e-13,-66.43131230412736,-5.442855857382878e-09,5.5999868153799105e-12,3.160613824636074e-11,0.4584860267367824,1.861361861856646,59.219245393945364,1.0450184220413283e-06,7.333093720912487e-05,0.7912601303983119,1.6044763424097973e-06,0.00012523394183260852
8,9.82377485587171e-12,2.7666740221601515e-12,9.730956304986109e-13,4.956208322959165e-13,84.38420309179287,6.632358978350112e-09,1.0561876060995685e-11,7.93141635656084e-11,0.39763092633785224,2.1406422499910707,41.01140065602664,1.403369182619826e-06,0.00011134790521095592,-1.398814870005062,2.1658314663932864e-06,0.00017179229471274887
9,4.2193423624175015e-12,1.483553553834505e-12,4.3399622870495147e-13,2.2136126266714266e-13,182.98882060679392,5.339421674315619e-09,1.5548292069948476e-12,2.946181092530546e-11,0.2573956669233835,3.0918973021308487,7.64732205092869,6.356063939789479e-07,1.396393495536736e-05,-0.6424238012922073,1.027853997402389e-06,2.598480938735026e-05
