,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,2.056436645289816e-11,8.095436892908187e-12,3.9020300134177634e-12,2.036730683546538e-12,-58.03475203874424,-6.058950606116328e-09,3.673179480659624e-12,1.5493135474051767e-10,0.18077057492550044,4.179782523226995,2.7142476915289038,9.536283021530419e-07,3.112020381780728e-05,0.3683940931561312,1.6012257952019518e-06,3.404593378805218e-05
1,4.633466242968956e-12,1.9449417864998904e-12,1.1983731923290674e-12,6.939315637037877e-13,-57.87966474360836,-1.888599760873665e-09,1.4415869113847337e-12,4.0132699786134885e-11,0.21121285883563254,3.5717814162102726,1.3144203989560521,5.411068086891593e-07,1.4213963921568623e-05,-0.15415330712781997,9.544621454531844e-07,2.5144076862745093e-05
2,1.0801587236530428e-11,2.762232495858236e-12,1.3995358417093738e-12,8.212169355541557e-13,-38.4945484754401,-7.352334231548344e-09,4.172942480854925e-12,7.816478854973403e-11,0.25098108165119476,3.239131761300529,5.333136666053216,9.314598307257269e-07,3.0258480134279388e-05,-0.476909792965451,1.512040464923727e-06,7.501458676432441e-05
3,2.576332463738776e-11,5.1400999800165805e-12,2.0075889167781362e-12,1.2215274141402738e-12,197.01926182401027,-4.605661938536934e-09,5.728065768859415e-12,1.5029296674343405e-10,0.21675953936508757,3.7445213733849703,-0.09026180210113031,1.1092628885802772e-06,3.490102670634012e-05,0.03278688496557806,1.785912883101624e-06,4.5403833472190427e-05
4,3.408578376324827e-11,7.244538454198368e-12,2.5573247876419756e-12,1.297729823215519e-12,161.92129346815668,-9.806646608701027e-10,4.206025865843591e-12,1.8676576790582216e-10,0.1693570437803438,4.707152693942728,-0.11712358313354382,1.0008264622566163e-06,2.553119672999161e-05,0.027411059716419314,1.6402442055193582e-06,3.93793705912871e-05
5,1.2312588372758342e-11,2.500691415145301e-12,9.854962674887178e-13,6.014797226175638e-13,307.1616277069169,-3.820841046198108e-09,7.345268531835516e-12,8.328391535197422e-11,0.3185439509174773,2.6791516449044432,4.069928394593182,1.2148269645184544e-06,2.9968457529564347e-05,0.5003177707437275,1.910119974183726e-06,7.068212885328449e-05
6,2.3923333661511353e-12,1.171892267818174e-12,8.27917228312807e-13,4.0690429764929974e-13,-33.09113909681425,-2.7842178902841593e-09,2.8184907099127334e-12,2.806361879412259e-11,0.3346803515073124,2.473648613828551,3.2836209148284183,7.461151248397089e-07,2.7704723424124513e-05,-0.4708244602829737,1.2071069153410515e-06,2.9606027972838937e-05
7,4.001059905928471e-12,1.0974592825472943e-12,5.179634723815468e-13,2.83710376840754e-13,-40.72563485401207,-2.655512246891041e-09,2.7172152262475213e-12,2.991927700780332e-11,0.32400193603658584,2.5823749282616806,0.2102008460719375,7.788467150290726e-07,1.803305181658655e-05,-0.07153309523279104,1.2326245806124509e-06,2.5094082935835805e-05
8,1.2593284669311614e-11,3.3034178510795988e-12,1.2059214319930493e-12,8.441617756335943e-13,-245.73125424211122,3.4656784713440626e-08,2.1101906739237363e-11,1.245888876714161e-10,0.4564295997793502,1.8175026775691807,0.5204071025858211,2.430385141873235e-06,4.2125519371328294e-05,-0.06057832796016979,3.7451953613374174e-06,4.7150581326009e-05
9,7.823357882170406e-12,2.523993848554748e-12,9.45938309792301e-13,5.053075821881829e-13,791.7850467650065,1.0323926314823131e-08,2.612536996402251e-12,5.361821163381611e-11,0.24983455649910113,3.184233310488505,0.6039395582494786,8.898102648962046e-07,1.7596085906767376e-05,-0.02763888710783527,1.4335340696075131e-06,2.447373791866941e-05
