,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,1.0666044303163038e-11,4.821354056422202e-12,3.630231251152882e-12,2.0638110050693817e-12,-59.318739065476365,1.0458159321130032e-09,8.640563537746435e-12,1.120774346218799e-10,0.3137615901017721,2.5007573395962726,6.362677243456886,1.5684980472356072e-06,1.599771515068284e-05,0.4785681519012604,2.520743444694899e-06,2.6395003179980165e-05
1,4.384457982063448e-12,1.8794167531745005e-12,2.846054332342986e-12,1.6762850026293926e-12,-67.24109980151326,-7.634084273473942e-10,1.7493893055960078e-12,4.856120524719357e-11,0.22550013767294122,3.0513473456627054,16.47672974161305,6.92460517599424e-07,9.282249729152361e-06,-1.072253818070749,1.2336715244962863e-06,1.2878549932097359e-05
2,5.3329274034254875e-12,1.84317670352953e-12,1.8825728455634577e-12,1.1885252162635608e-12,-138.28738490823332,-8.7172663535813e-09,4.684251957212592e-12,5.340924066883675e-11,0.332617863024606,2.3938168921368894,2.329792364888643,1.175497161236905e-06,1.9066383894102386e-05,-0.1521079963079746,1.8799974389612185e-06,2.037756835736629e-05
3,5.466746278614265e-12,1.883003680615617e-12,1.872286309949142e-12,1.1859971807945704e-12,-247.620282171166,-7.755970122662188e-09,4.599096844711614e-12,5.379470897754208e-11,0.32850880534785126,2.4221663330453733,2.275044054327338,1.1639430321102153e-06,1.9657112222476536e-05,-0.1417094827564863,1.8639527795191389e-06,2.032167349813077e-05
4,3.9188421531115335e-12,1.5354431386175422e-12,8.319730959565048e-13,6.84922705635267e-13,-715.2415149886165,4.7680489317687565e-09,2.188293211286619e-12,3.473696151507503e-11,0.28362093668629607,2.7845795261889172,1.0207565014106001,8.022259179640367e-07,1.1123132256046389e-05,-0.11592639192909317,1.2972738589103744e-06,1.285762471046006e-05
5,3.546377576072869e-12,1.3883909844008209e-12,7.83358457487486e-13,6.519638075294353e-13,-432.5980399194487,3.239621526584042e-09,2.1515331701080773e-12,3.2187701352617646e-11,0.29187515968919525,2.7184741105864854,1.0811820969998396,7.977521543298873e-07,1.10934197222858e-05,-0.11297275806113756,1.2850768683978763e-06,1.2762052674143585e-05
6,2.6358215139949105e-12,1.0726466405382402e-12,7.269594702678263e-13,6.0448992086015e-13,-143.11432488181146,1.5224869390013889e-09,1.7638518583521606e-12,2.5621461745164435e-11,0.2959206915357436,2.6631349610154875,1.1390879938772842,7.172882968869578e-07,9.114096758983749e-06,-0.14049746098277324,1.164850328159364e-06,1.2254375349050127e-05
7,1.4930968610679732e-12,8.641946486755699e-13,8.078411843703686e-13,7.104239120514481e-13,-142.88628108843466,-1.6690657835059127e-09,2.413873058258618e-12,2.254302037416621e-11,0.3604290213360491,2.225211513524281,1.0356958949776636,7.766158882938579e-07,1.5723142183566033e-05,0.022920787599154488,1.2557687144179344e-06,2.2082873289082168e-05
8,3.863010873799455e-12,1.5102722582248506e-12,8.252763822820157e-13,6.838529134295956e-13,-3015.6353258019253,3.0774646018234035e-09,2.2884335660310436e-12,3.464408116756531e-11,0.2901385232053631,2.736519545379875,1.0357377875632525,8.233461325999573e-07,1.1668997079423208e-05,-0.11029739497417275,1.3252060103998716e-06,1.3782835683222705e-05
9,1.9173726589977923e-12,9.781286514557383e-13,9.019180781785767e-13,8.486992878629156e-13,139.63907634106656,1.6012652134822699e-09,2.2857876204633513e-12,2.5862158750873033e-11,0.3339373234610323,2.360034670455026,1.9002250507488716,7.982623791911861e-07,1.1715442081330587e-05,-0.03524499483240221,1.2948120049679187e-06,1.8335301972991527e-05
10,2.397629588759716e-12,1.0458448123929303e-12,7.871265339970555e-13,6.755950976339897e-13,382.5154054877593,-6.257685875256431e-09,1.1709394983101978e-12,2.450650807924571e-11,0.25407387157823635,2.8666437671501463,1.4654235794153838,5.698676963182146e-07,6.490208709849698e-06,0.1397297260925433,9.780168591312343e-07,8.382422970931563e-06
11,3.6357980633268624e-12,1.4593088148072437e-12,1.0401789686178007e-12,7.903499489209142e-13,-471.1135818693036,9.679363505308665e-10,1.4348929725087348e-12,3.4510555055630445e-11,0.2362260444614563,3.0138090269996067,1.8712030877808277,6.143240905199291e-07,9.594205053788051e-06,0.21013433837325374,1.0793337709756965e-06,1.0763344875257492e-05
12,2.3788818245944217e-12,1.2293052786464186e-12,1.1120192127206792e-12,9.82552137350926e-13,319.19625690927455,-4.048561655800388e-09,1.5938149188691625e-12,3.0018879171996966e-11,0.268761184600294,2.675728011402055,2.181396619101938,6.654692487482633e-07,9.178024786755169e-06,0.047820267583308054,1.1504248435960129e-06,1.1940435635919735e-05
