,Delta,Theta,Alpha,Beta,Coefficient of variation,Mean of vertex to vertex slope,Variance of vertex to vertex slope,Hjorth activity,Hjorth mobility,Hjorth complexity,Kurtosis,Second difference mean,Second difference max,Skewness,First difference mean,First difference max
0,2.5992373368588852e-11,1.0912218102031438e-11,4.458513847331274e-12,2.068435018219086e-12,79.64860364211441,-6.646575133376648e-09,4.0907080094732695e-12,1.7771036388197586e-10,0.17938020936915453,4.042299331097004,14.520162273208005,9.775865653110024e-07,2.2248343053330285e-05,1.8323047597810622,1.667371465579762e-06,2.374826888380255e-05
1,7.806360098165532e-12,2.4122909484688925e-12,1.1102110072448072e-12,7.092923988917739e-13,-3613.314193654807,-1.3570001179590362e-09,1.4027519710707984e-12,5.217805231825686e-11,0.19594347821377928,3.313377685861693,1.10279827682801,5.938074983217073e-07,7.340025653467611e-06,0.04258082778359802,1.1042934330942809e-06,1.0248497230487525e-05
2,1.2623906013453577e-11,3.2432192895388273e-12,1.1351759500408537e-12,7.409436042796964e-13,242.82055013803537,-2.067632726399783e-09,2.3973800104200063e-12,7.973599845571885e-11,0.20269788996059365,3.510169826041603,5.0113618833302835,7.83766649190637e-07,8.598892144655526e-06,-0.4259177699445784,1.3632592625071093e-06,1.830221206530861e-05
3,4.6588068454111946e-11,7.985781035805166e-12,2.552863238711713e-12,1.4531617044352241e-12,-778.5611231034003,1.13296303119179e-08,4.996651704147703e-12,2.388990538236703e-10,0.16639122292916908,4.568393971848501,2.683842537671593,1.0655390393301017e-06,2.6875227946898606e-05,0.035033849851117294,1.761815080219057e-06,2.7087409010452433e-05
4,3.977483125265512e-11,7.818265081936411e-12,2.6464919197678567e-12,1.415399314184728e-12,-485.46383081988137,4.6483428494926634e-09,5.188885739597574e-12,2.1220757263548603e-10,0.18044522260761212,4.2367851897061515,1.227260650839256,1.203859330087761e-06,2.665197709315633e-05,0.23154680745191358,1.990768146413597e-06,2.752958119935912e-05
5,5.986048673076974e-12,1.5947487604826821e-12,6.321020462746495e-13,4.707791892192855e-13,275.5910216998112,-2.6653491866070557e-09,1.5760679293912928e-12,4.1691377854237755e-11,0.2278313347549823,3.0259742792396396,2.900649298199393,6.456684850381345e-07,6.001688288700695e-06,-0.21641819284879193,1.1450338626864307e-06,1.4183968908216984e-05
6,3.0347619839484284e-12,1.4143425152107073e-12,8.326156038409126e-13,6.11206730142271e-13,-129.6401500596871,-1.569709038978895e-09,1.4727347181815793e-12,3.0667986697911266e-11,0.2578988476239173,2.6087015263036646,0.7979738456230595,6.182801787486127e-07,1.4342119449149308e-05,0.09050553827454207,1.117889504102335e-06,1.441543781338216e-05
7,3.2751462351970663e-12,1.066046795279544e-12,5.83214638152231e-13,3.659962517472706e-13,4731.2226764924,7.033337102960058e-10,1.2335839227566708e-12,2.6626082677315092e-11,0.2506235927399454,2.7873122834077235,1.428271563480225,5.761488991098881e-07,9.86202847333486e-06,-0.034623397914468675,1.0145867062073264e-06,1.047415437857633e-05
8,1.7823928952482496e-11,3.929854009741389e-12,1.4865849745901396e-12,1.0422819284756921e-12,-257.66088095204395,7.506903136133178e-09,6.738664451449071e-12,1.1555548427883298e-10,0.2736614533032218,2.8351467135782333,0.9124423223290848,1.3840003432801361e-06,3.2521994872968634e-06,0.04926820848802998,2.2542948062508003e-06,1.748400970473793e-05
9,5.547272686275987e-12,1.580942438878372e-12,7.84567029796676e-13,4.4636226171462106e-13,177.54949273765376,4.1411823509526985e-09,1.4776692398910727e-12,4.010751676453493e-11,0.22761810400882407,2.9897897789026153,1.250251259842139,6.29899799313712e-07,7.85784901808194e-06,-0.13328588139445718,1.1312857878931404e-06,1.006047236743725e-05
